US97717W1255;AuM Fund;AuM Fund Date;AuM Share Class;AuM Share Class Date;Bid NAV;Bid NAV Date;Ask NAV;Ask NAV Date;Valuation NAV;Valuation NAV Date;Transaction NAV;Transaction NAV Date;NoS Fund Date;NoS Share Class;NoS Share Class Date;NoS Fund;FE Bid;FE Bid Date;FE Offer;FE Offer Date;FE NAV;FE NAV Date;FE Generic NAV;FE Generic NAV Date;FE AUM Fund Date;FE AUM Share Class;FE AUM Share Class Date;FE NOS Fund;FE NOS Fund Date;FE NOS Share Class;FE NOS Share Class Date;Citi Code;Fund Code;Dynamic Currency;FE AUM Fund;FE Mid;FE Mid Date;FE Total Return NAV;FE Total Return NAV Date;Amount of Shares Redeemed Fund;Amount of Shares Redeemed Share Class;Amount of Shares Subscribed Fund;Amount of Shares Subscribed Share Class;Number of Shares Redeemed Fund;Number of Shares Redeemed Share Class;Number of Shares Subscribed Fund;Number of Shares Subscribed Share Class
AT0000A00XQ3;468900000.00;30/04/2024;;;;;;;9.96;29/05/2024;;;;;;;;;;;9.96;29/05/2024;9.96;29/05/2024;30/04/2024;;;;;;;ABUQF;AHFS4R;USD;468900000.00;9.96;29/05/2024;99.619;29/05/2024;;;;;;;;
AT0000A00XN0;;;;;;;;;29.14;30/05/2024;;;;;;;;;;;29.14;30/05/2024;29.14;30/05/2024;;;;;;;;ABUQN;ADFOQ9;USD;;29.14;30/05/2024;298.671;30/05/2024;;;;;;;;
AT0000A00XL4;612020000.00;30/05/2024;;;;;;;11.72;30/05/2024;;;;;;;;;;;11.72;30/05/2024;11.72;30/05/2024;30/05/2024;;;;;;;ABUSN;AUFMHP;USD;612020000.00;11.72;30/05/2024;117.387;30/05/2024;;;;;;;;
AT0000859590;25000000.00;01/03/2024;;;;;;;8.46;30/05/2024;;;;;;;;;;;8.46;30/05/2024;8.46;30/05/2024;01/03/2024;;;;;;;ABUUG;AAFVKM;USD;25000000.00;8.46;30/05/2024;8.46;30/05/2024;;;;;;;;
AT0000817408;486000000.00;30/04/2024;;;;;;;7.37;29/05/2024;;;;;;;;;;;7.37;29/05/2024;7.37;29/05/2024;30/04/2024;;;;;;;ABUVT;AVFYKW;USD;486000000.00;7.37;29/05/2024;7.523;29/05/2024;;;;;;;;
AT0000811815;75565866.28;30/05/2024;18962611.06;30/05/2024;;;;;188.47;30/05/2024;;;;10.072.565.100.000;30/05/2024;;;;;;188.47;30/05/2024;188.47;30/05/2024;30/05/2024;18962611.06;30/05/2024;;;10.072.565.100.000;30/05/2024;ABUX;ABFUX;EUR;75565866.28;188.47;30/05/2024;188.47;30/05/2024;;;;;;;;
AT0000811807;;;;;5.258;30/05/2024;5.258;30/05/2024;;;;;;;;;5.258;30/05/2024;5.258;30/05/2024;5.258;30/05/2024;5.258;30/05/2024;;;;;;;;ABV0V;ADFKHU;EUR;;;;5.258;30/05/2024;;;;;;;;
AT0000810544;562850720.32;31/05/2024;305680274.23;31/05/2024;;;;;56.02;31/05/2024;;;;545.662.753.000.000;31/05/2024;;;;;;56.02;31/05/2024;56.02;31/05/2024;31/05/2024;305680274.23;31/05/2024;;;545.662.753.000.000;31/05/2024;ABV1;ABFU3;USD;562850720.32;56.02;31/05/2024;56.02;31/05/2024;;;;;;;;
AT0000711593;40171261.18;18/04/2024;246433.31;30/05/2024;;;;;5.064;30/05/2024;;;;4.866.586.900.000;30/05/2024;;;;;;5.064;30/05/2024;5.064;30/05/2024;18/04/2024;246433.31;30/05/2024;;;4.866.586.900.000;30/05/2024;ABV2G;UFFAH;EUR;40171261.18;5.064;30/05/2024;5.064;30/05/2024;;;;;;0;;0
AT0000707096;13700000000.00;30/04/2024;;;;;;;9.25;30/05/2024;;;;;;;;;;;9.25;30/05/2024;9.25;30/05/2024;30/04/2024;;;;;;;ABV3X;ATFMZ5;USD;13700000000.00;9.25;30/05/2024;93.704;30/05/2024;;;;;;;;
AT0000636964;562850720.32;31/05/2024;8739403.34;31/05/2024;;;;;40.3;31/05/2024;;;;23.542.164.000.000;31/05/2024;;;;;;40.3;31/05/2024;40.3;31/05/2024;31/05/2024;8739403.34;31/05/2024;;;23.542.164.000.000;31/05/2024;ABV4;ABFU3;EUR;562850720.32;40.3;31/05/2024;40.3;31/05/2024;;;;;;;;
AT0000613989;562850720.32;31/05/2024;853798.50;25/03/2020;21.36;25/03/2020;21.36;25/03/2020;;;;;;;;;21.36;25/03/2020;21.36;25/03/2020;21.36;25/03/2020;21.36;25/03/2020;31/05/2024;853798.50;25/03/2020;;;;;ABV5;ABFU3;USD;562850720.32;;;21.36;25/03/2020;;;;;;;;
AT0000607312;7650000000.00;30/05/2024;;;;;;;29.09;30/05/2024;;;;;;;;;;;29.09;30/05/2024;29.09;30/05/2024;30/05/2024;;;;;;;ABV5H;AUF38M;USD;7650000000.00;29.09;30/05/2024;291.846;30/05/2024;;;;;;;;
AT0000607270;562850720.32;31/05/2024;1586671.87;31/05/2024;;;;;44.15;31/05/2024;;;;4.575.650.000.000;31/05/2024;;;;;;44.15;31/05/2024;44.15;31/05/2024;31/05/2024;1586671.87;31/05/2024;;;4.575.650.000.000;31/05/2024;ABV6;ABFU3;GBP;562850720.32;44.15;31/05/2024;44.15;31/05/2024;;;;;;;;
