US97717W1255;AuM Fund;AuM Fund Date;AuM Share Class;AuM Share Class Date;Bid NAV;Bid NAV Date;Ask NAV;Ask NAV Date;Valuation NAV;Valuation NAV Date;Transaction NAV;Transaction NAV Date;NoS Fund Date;NoS Share Class;NoS Share Class Date;NoS Fund;FE Bid;FE Bid Date;FE Offer;FE Offer Date;FE NAV;FE NAV Date;FE Generic NAV;FE Generic NAV Date;FE AUM Fund Date;FE AUM Share Class;FE AUM Share Class Date;FE NOS Fund;FE NOS Fund Date;FE NOS Share Class;FE NOS Share Class Date;Citi Code;Fund Code;Dynamic Currency;FE AUM Fund;FE Mid;FE Mid Date;FE Total Return NAV;FE Total Return NAV Date;Amount of Shares Redeemed Fund;Amount of Shares Redeemed Share Class;Amount of Shares Subscribed Fund;Amount of Shares Subscribed Share Class;Number of Shares Redeemed Fund;Number of Shares Redeemed Share Class;Number of Shares Subscribed Fund;Number of Shares Subscribed Share Class
US67776G5430;100496403.67;31/05/2024;19313180.07;31/05/2024;;;;;132.173;31/05/2024;;;31/05/2024;146.120.207.400.000;31/05/2024;864.562.395.900.000;;;;;132.173;31/05/2024;132.173;31/05/2024;31/05/2024;19313180.07;31/05/2024;864.562.395.900.000;31/05/2024;146.120.207.400.000;31/05/2024;002F;N4FB0;EUR;100496403.67;132.173;31/05/2024;132.173;31/05/2024;;;;;;;;
US52472T7596;184449493.81;30/04/2024;25532354.87;31/01/2022;;;;;14.89;31/05/2024;;;;172.860.354.100.000;08/04/2024;;;;;;14.89;31/05/2024;14.89;31/05/2024;30/04/2024;25532354.87;31/01/2022;;;172.860.354.100.000;08/04/2024;002P;J5FS0;EUR;184449493.81;14.89;31/05/2024;14.89;31/05/2024;;;;;;;;
US52469H6365;102568627.24;30/05/2024;56805261.72;30/05/2024;;;;;9660.98;30/05/2024;;;;587.986.600.000;30/05/2024;;;;;;9660.98;30/05/2024;9660.98;30/05/2024;30/05/2024;56805261.72;30/05/2024;;;587.986.600.000;30/05/2024;002R;KLFQ1;EUR;102568627.24;9660.98;30/05/2024;9660.98;30/05/2024;;;;;;;;
US52469F5807;447222213.58;31/05/2024;44199702.31;31/05/2024;;;;;;;30.76;31/05/2024;;143.705.346.800.000;31/05/2024;;;;;;30.76;31/05/2024;30.76;31/05/2024;31/05/2024;44199702.31;31/05/2024;;;143.705.346.800.000;31/05/2024;002T;Y4F83;USD;447222213.58;30.76;31/05/2024;322.634;31/05/2024;;;;;;;;
US5246866728;447222213.58;31/05/2024;22473526.00;31/05/2024;;;;;;;40.21;31/05/2024;;55.896.004.500.000;31/05/2024;;;;;;40.21;31/05/2024;40.21;31/05/2024;31/05/2024;22473526.00;31/05/2024;;;55.896.004.500.000;31/05/2024;002U;Y4F83;EUR;447222213.58;40.21;31/05/2024;40.21;31/05/2024;;;;;;;;
US5246863675;48051404.36;31/05/2024;7848120.99;31/05/2024;;;;;11.53;31/05/2024;;;;68.094.300.000.000;31/05/2024;;;;;;11.53;31/05/2024;11.53;31/05/2024;31/05/2024;7848120.99;31/05/2024;;;68.094.300.000.000;31/05/2024;002V;TFF37;USD;48051404.36;11.53;31/05/2024;11.53;31/05/2024;;;;;;;;
US48121L5286;334658648.86;31/05/2024;4502925.50;31/05/2024;;;;;8.51;31/05/2024;;;;52.884.128.000.000;31/05/2024;;;;;;8.51;31/05/2024;8.51;31/05/2024;31/05/2024;4502925.50;31/05/2024;;;52.884.128.000.000;31/05/2024;004D;00F4C;USD;334658648.86;8.51;31/05/2024;143.069;31/05/2024;;;;;;;;
US48121L5104;334658648.86;31/05/2024;175237137.92;31/05/2024;;;;;8.55;31/05/2024;;;;2.049.688.822.300.000;31/05/2024;;;;;;8.55;31/05/2024;8.55;31/05/2024;31/05/2024;175237137.92;31/05/2024;;;2.049.688.822.300.000;31/05/2024;004E;00F4C;USD;334658648.86;8.55;31/05/2024;157.635;31/05/2024;;;;;;;;
US46429B6552;630073696.69;31/05/2024;;;;;;;220.32;31/05/2024;;;;11.290.000.000.000;31/05/2024;;;;;;220.32;31/05/2024;220.32;31/05/2024;31/05/2024;;;;;11.290.000.000.000;31/05/2024;008L;NAFI6;EUR;630073696.69;220.32;31/05/2024;220.32;31/05/2024;;;;;;;;
US4642864759;57694652.09;31/05/2024;;;;;;;168.13;31/05/2024;;;;34.314.500.000.000;31/05/2024;;;;;;168.13;31/05/2024;168.13;31/05/2024;31/05/2024;;;;;34.314.500.000.000;31/05/2024;009G;00F9G;EUR;57694652.09;168.13;31/05/2024;1.768.163;31/05/2024;;;;;;;;
US46141D1046;22948975.23;31/05/2024;;;;;;;186.97;31/05/2024;;;;53.200.000.000;31/05/2024;;;;;;186.97;31/05/2024;186.97;31/05/2024;31/05/2024;;;;;53.200.000.000;31/05/2024;009I;00F9I;EUR;22948975.23;186.97;31/05/2024;2.038.028;31/05/2024;;;;;;;;
US46140H7008;22948975.23;31/05/2024;;;;;;;217.53;31/05/2024;;;;10.503.800.000.000;31/05/2024;;;;;;217.53;31/05/2024;217.53;31/05/2024;31/05/2024;;;;;10.503.800.000.000;31/05/2024;009J;00F9I;EUR;22948975.23;217.53;31/05/2024;2.440.451;31/05/2024;;;;;;;;
US46140H5028;336300879.77;31/05/2024;;;;;;;246.7;31/05/2024;;;;102.468.500.000.000;31/05/2024;;;;;;246.7;31/05/2024;246.7;31/05/2024;31/05/2024;;;;;102.468.500.000.000;31/05/2024;009Q;00F9Q;EUR;336300879.77;246.7;31/05/2024;3.714.486;31/05/2024;;;;;;;;
US46140H4039;1972457421.15;31/05/2024;;;231;13/11/2019;231;13/11/2019;;;;;;364.507.500.000.000;13/11/2019;;231;13/11/2019;231;13/11/2019;231;13/11/2019;231;13/11/2019;31/05/2024;;;;;364.507.500.000.000;13/11/2019;00A1;AEFD9;EUR;1972457421.15;;;231;13/11/2019;;;;;;;;
US46140H3049;1972457421.15;31/05/2024;294848177.50;31/05/2024;;;;;361.97;31/05/2024;;;;81.457.407.700.000;31/05/2024;;;;;;361.97;31/05/2024;361.97;31/05/2024;31/05/2024;294848177.50;31/05/2024;;;81.457.407.700.000;31/05/2024;00A2;AEFD9;EUR;1972457421.15;361.97;31/05/2024;361.97;31/05/2024;;;;;;;;
US46138G7060;359304935.35;30/05/2024;198732872.89;30/05/2024;;;;;137.65;30/05/2024;;;;144.379.500.000.000;30/05/2024;;;;;;137.65;30/05/2024;137.65;30/05/2024;30/05/2024;198732872.89;30/05/2024;;;144.379.500.000.000;30/05/2024;00A7;00FA7;EUR;359304935.35;137.65;30/05/2024;137.65;30/05/2024;;;;;;;;
US46138E8003;359304935.35;30/05/2024;69424531.93;30/05/2024;;;;;125.52;30/05/2024;;;;55.307.900.000.000;30/05/2024;;;;;;125.52;30/05/2024;125.52;30/05/2024;30/05/2024;69424531.93;30/05/2024;;;55.307.900.000.000;30/05/2024;00A8;00FA7;EUR;359304935.35;125.52;30/05/2024;125.52;30/05/2024;;;;;;;;
US46138E5454;4049469345.00;30/05/2024;50326129.25;30/05/2024;;;;;5.59;30/05/2024;;;;899.768.600.000.000;30/05/2024;;;;;;5.59;30/05/2024;5.59;30/05/2024;30/05/2024;50326129.25;30/05/2024;;;899.768.600.000.000;30/05/2024;00AL;WVF70;EUR;4049469345.00;5.59;30/05/2024;111.109;30/05/2024;;;;;;;;
US46138E2634;961647327.92;30/05/2024;103318488.26;12/04/2021;15.599;12/04/2021;15.616;12/04/2021;;;;;;7.097.487.800.000.000;12/04/2021;;15.599;12/04/2021;15.616;12/04/2021;15.599;12/04/2021;15.599;12/04/2021;30/05/2024;103318488.26;12/04/2021;;;7.097.487.800.000.000;12/04/2021;00AM;UOBGI;USD;961647327.92;;;15.599;12/04/2021;;;;;;;;
US46137Y5006;3000256259.80;30/05/2024;196893453.60;30/05/2024;;;;;13.906;30/05/2024;;;;1.415.863.930.000.000;30/05/2024;;;;;;13.906;30/05/2024;13.906;30/05/2024;30/05/2024;196893453.60;30/05/2024;;;1.415.863.930.000.000;30/05/2024;00AN;D3FA1;USD;3000256259.80;13.906;30/05/2024;13.906;30/05/2024;;;;;;;;
US46137Y4017;468961142.40;30/05/2024;1589136.33;30/05/2024;;;;;11.981;30/05/2024;;;;;;;;;;;11.981;30/05/2024;11.981;30/05/2024;30/05/2024;1589136.33;30/05/2024;;;;;00FX;M9FT2;EUR;468961142.40;11.981;30/05/2024;11.981;30/05/2024;;;;;;;;
US46137V4317;596668024.76;31/05/2024;17788924.11;31/05/2024;;;;;1.893.174;31/05/2024;;;;9.376.050.000.000;31/05/2024;;;;;;1.893.174;31/05/2024;1.893.174;31/05/2024;31/05/2024;17788924.11;31/05/2024;;;9.376.050.000.000;31/05/2024;00FZ;TKF22;EUR;596668024.76;1.893.174;31/05/2024;1.893.174;31/05/2024;;;;;;;;
US46137V4234;142512300.00;26/04/2024;84804.02;30/05/2024;;;;;278.856;30/05/2024;;;;304.100.000.000;30/05/2024;;;;;;278.856;30/05/2024;278.856;30/05/2024;26/04/2024;84804.02;30/05/2024;;;304.100.000.000;30/05/2024;00NV;00FNV;CHF;142512300.00;278.856;30/05/2024;278.856;30/05/2024;;;;;;;;
US46137V1594;142512300.00;26/04/2024;2233063.93;30/05/2024;;;;;348.889;30/05/2024;;;;6.400.400.000.000;30/05/2024;;;;;;348.889;30/05/2024;348.889;30/05/2024;26/04/2024;2233063.93;30/05/2024;;;6.400.400.000.000;30/05/2024;00NX;00FNV;EUR;142512300.00;348.889;30/05/2024;348.889;30/05/2024;;;;;;;;
US46090A8870;142512300.00;26/04/2024;2479866.13;30/05/2024;;;;;259.039;30/05/2024;;;;9.573.300.000.000;30/05/2024;;;;;;259.039;30/05/2024;259.039;30/05/2024;26/04/2024;2479866.13;30/05/2024;;;9.573.300.000.000;30/05/2024;00O0;00FNV;USD;142512300.00;259.039;30/05/2024;259.039;30/05/2024;;;;;;;;
US35472P4063;142512300.00;26/04/2024;4465175.72;30/05/2024;;;;;332.711;30/05/2024;;;;16.892.000.000.000;30/05/2024;;;;;;332.711;30/05/2024;332.711;30/05/2024;26/04/2024;4465175.72;30/05/2024;;;16.892.000.000.000;30/05/2024;00O1;00FNV;GBP;142512300.00;332.711;30/05/2024;332.711;30/05/2024;;;;;;;;
US3547268207;142512300.00;26/04/2024;1139659.48;30/05/2024;;;;;331.803;30/05/2024;;;;16.892.000.000.000;30/05/2024;;;;;;331.803;30/05/2024;331.803;30/05/2024;26/04/2024;1139659.48;30/05/2024;;;16.892.000.000.000;30/05/2024;00O2;00FNV;GBP;142512300.00;331.803;30/05/2024;332.698;30/05/2024;;;;;;;;
US3547245932;965599439.10;30/04/2024;280737474.51;31/05/2024;2.619.655;31/05/2024;2.619.655;31/05/2024;;;;;;;;;2.619.655;31/05/2024;2.619.655;31/05/2024;2.619.655;31/05/2024;2.619.655;31/05/2024;30/04/2024;280737474.51;31/05/2024;;;;;00P8;MYCA;GBP;965599439.10;;;2.619.655;31/05/2024;;;;;;;;
US3540268170;965599439.10;30/04/2024;53057849.50;31/05/2024;1.017.912;31/05/2024;1.017.912;31/05/2024;;;;;;;;;1.017.912;31/05/2024;1.017.912;31/05/2024;1.017.912;31/05/2024;1.017.912;31/05/2024;30/04/2024;53057849.50;31/05/2024;;;;;00P9;MYCA;GBP;965599439.10;;;2.026.417;31/05/2024;;;;;;;;
US35241W3025;1313108704.10;30/04/2024;339250886.70;10/09/2020;52.178.779;31/05/2024;52.279.474;31/05/2024;;;;;;;;;52.178.779;31/05/2024;52.279.474;31/05/2024;52.178.779;31/05/2024;52.178.779;31/05/2024;30/04/2024;339250886.70;10/09/2020;;;;;00PA;MYEUG;GBP;1313108704.10;;;52.178.779;31/05/2024;;;;;;;;
US19452P3626;1098545107.30;31/05/2024;173405152.71;31/05/2024;348.151;31/05/2024;3.495.234;31/05/2024;;;;;;;;;348.151;31/05/2024;3.495.234;31/05/2024;348.151;31/05/2024;348.151;31/05/2024;31/05/2024;173405152.71;31/05/2024;;;;;00PB;MYHYB;GBP;1098545107.30;;;348.151;31/05/2024;;;;;;;;
US09260B7394;1098545107.30;31/05/2024;105850439.31;31/05/2024;1.005.393;31/05/2024;1.009.356;31/05/2024;;;;;;;;;1.005.393;31/05/2024;1.009.356;31/05/2024;1.005.393;31/05/2024;1.005.393;31/05/2024;31/05/2024;105850439.31;31/05/2024;;;;;00PC;MYHYB;GBP;1098545107.30;;;3.576.416;31/05/2024;;;;;;;;
US09257E7958;498649324.43;30/11/2023;218432694.65;31/05/2024;6.069.714;31/05/2024;6.096.278;31/05/2024;;;;;;;;;6.069.714;31/05/2024;6.096.278;31/05/2024;6.069.714;31/05/2024;6.069.714;31/05/2024;30/11/2023;218432694.65;31/05/2024;;;;;00PD;MYEM;GBP;498649324.43;;;6.069.714;31/05/2024;;;;;;;;
US0448208688;148639077.00;30/04/2024;20385653.95;10/09/2020;2.587.055;31/05/2024;2.590.098;31/05/2024;;;;;;;;;2.587.055;31/05/2024;2.590.098;31/05/2024;2.587.055;31/05/2024;2.587.055;31/05/2024;30/04/2024;20385653.95;10/09/2020;;;;;00PE;MYGTI;GBP;148639077.00;;;2.587.055;31/05/2024;;;;;;;;
TBD000079790;453469332.69;30/04/2024;29763582.55;31/05/2024;4.653.584;31/05/2024;4.681.972;31/05/2024;;;;;;;;;4.653.584;31/05/2024;4.681.972;31/05/2024;4.653.584;31/05/2024;4.653.584;31/05/2024;30/04/2024;29763582.55;31/05/2024;;;;;00PG;MYMGWA;GBP;453469332.69;;;6.930.303;31/05/2024;;;;;;;;
TBD000076262;654584063.96;30/04/2024;131689167.77;31/05/2024;23.129.077;31/05/2024;23.263.064;31/05/2024;;;;;;;;;23.129.077;31/05/2024;23.263.064;31/05/2024;23.129.077;31/05/2024;23.129.077;31/05/2024;30/04/2024;131689167.77;31/05/2024;;;;;00PH;MYINC;GBP;654584063.96;;;23.129.077;31/05/2024;;;;;;;;
SG9999007769;416632231.95;30/04/2024;32788480.27;31/05/2024;27.762.896;31/05/2024;28.007.458;31/05/2024;;;;;;;;;27.762.896;31/05/2024;28.007.458;31/05/2024;27.762.896;31/05/2024;27.762.896;31/05/2024;30/04/2024;32788480.27;31/05/2024;;;;;00PI;MYREC;GBP;416632231.95;;;44.467.233;31/05/2024;;;;;;;;
SG9999007520;480896114.73;30/05/2024;;;;;;;93.35;25/03/2015;;;;;;;;;;;93.35;25/03/2015;93.35;25/03/2015;30/05/2024;;;;;;;00PS;FZF86;EUR;480896114.73;93.35;25/03/2015;93.35;25/03/2015;;;;;;;;
SG9999007512;1566182070.57;30/05/2024;;;;;;;122.85;14/05/2013;;;;;;;;;;;122.85;14/05/2013;122.85;14/05/2013;30/05/2024;;;;;;;00Q0;X3NAE;GBP;1566182070.57;122.85;14/05/2013;122.85;14/05/2013;;;;;;;;
QS000212PL81;171591920.34;30/05/2024;18199567.35;30/05/2024;;;;;99.51;30/05/2024;;;;18.288.550.000.000;30/05/2024;;;;;;99.51;30/05/2024;99.51;30/05/2024;30/05/2024;18199567.35;30/05/2024;;;18.288.550.000.000;30/05/2024;00Q4;FOF13;EUR;171591920.34;99.51;30/05/2024;99.51;30/05/2024;;;;;;;;
NL0015001DV7;2442800000.00;30/04/2024;63973009.67;30/05/2024;;;;;1100.06;30/05/2024;;;;5.815.398.600.000;30/05/2024;;;;;;1100.06;30/05/2024;1100.06;30/05/2024;30/04/2024;63973009.67;30/05/2024;;;5.815.398.600.000;30/05/2024;00QE;BVFW5;GBP;2442800000.00;1100.06;30/05/2024;1100.06;30/05/2024;;;;;;;;
LU2701595089;2442800000.00;30/04/2024;33141128.42;30/05/2024;;;;;116.33;30/05/2024;;;;28.488.040.400.000;30/05/2024;;;;;;116.33;30/05/2024;116.33;30/05/2024;30/04/2024;33141128.42;30/05/2024;;;28.488.040.400.000;30/05/2024;00QF;BVFW5;GBP;2442800000.00;116.33;30/05/2024;116.33;30/05/2024;;;;;;;;
LU2667125459;2442800000.00;30/04/2024;48409220.28;30/05/2024;;;;;100.08;31/05/2024;;;;47.965.463.800.000;30/05/2024;;;;;;100.08;31/05/2024;100.08;31/05/2024;30/04/2024;48409220.28;30/05/2024;;;47.965.463.800.000;30/05/2024;00QG;BVFW5;EUR;2442800000.00;100.08;31/05/2024;100.08;31/05/2024;;;;;;;;
LU2654776074;2442800000.00;30/04/2024;52480435.71;30/05/2024;;;;;109.41;30/05/2024;;;;47.965.463.800.000;30/05/2024;;;;;;109.41;30/05/2024;109.41;30/05/2024;30/04/2024;52480435.71;30/05/2024;;;47.965.463.800.000;30/05/2024;00QH;BVFW5;USD;2442800000.00;109.41;30/05/2024;109.41;30/05/2024;;;;;;;;
LU2652790747;1133480000.00;30/04/2024;12144010.08;30/05/2024;;;;;136.16;30/05/2024;;;;8.918.875.100.000;30/05/2024;;;;;;136.16;30/05/2024;136.16;30/05/2024;30/04/2024;12144010.08;30/05/2024;;;8.918.875.100.000;30/05/2024;00QM;DMFG1;EUR;1133480000.00;136.16;30/05/2024;136.16;30/05/2024;;;;;;;;
LU2648527815;1133480000.00;30/04/2024;38094919.99;30/05/2024;;;;;92.24;30/05/2024;;;;41.301.394.500.000;30/05/2024;;;;;;92.24;30/05/2024;92.24;30/05/2024;30/04/2024;38094919.99;30/05/2024;;;41.301.394.500.000;30/05/2024;00QN;DMFG1;GBP;1133480000.00;92.24;30/05/2024;92.24;30/05/2024;;;;;;;;
LU2638554183;1133480000.00;30/04/2024;2293918.48;30/05/2024;;;;;88.53;30/05/2024;;;;2.591.180.100.000;30/05/2024;;;;;;88.53;30/05/2024;88.53;30/05/2024;30/04/2024;2293918.48;30/05/2024;;;2.591.180.100.000;30/05/2024;00QO;DMFG1;GBP;1133480000.00;88.53;30/05/2024;915.045;30/05/2024;;;;;;;;
LU2636429701;1133480000.00;30/04/2024;2695556.38;30/05/2024;;;;;104.03;30/05/2024;;;;2.591.180.100.000;30/05/2024;;;;;;104.03;30/05/2024;104.03;30/05/2024;30/04/2024;2695556.38;30/05/2024;;;2.591.180.100.000;30/05/2024;00QP;DMFG1;EUR;1133480000.00;104.03;30/05/2024;1.075.255;30/05/2024;;;;;;;;
LU2623259384;250000000.00;30/04/2024;9712306.05;30/05/2024;;;;;1085;30/05/2024;;;;895.144.600.000;30/05/2024;;;;;;1085;30/05/2024;1085;30/05/2024;30/04/2024;9712306.05;30/05/2024;;;895.144.600.000;30/05/2024;00QQ;IEF71;USD;250000000.00;1085;30/05/2024;18.566.972;30/05/2024;;;;;;;;
LU2611731667;3526570000.00;30/04/2024;53372173.40;30/05/2024;;;;;1920.28;30/05/2024;;;;2.779.393.100.000;30/05/2024;;;;;;1920.28;30/05/2024;1920.28;30/05/2024;30/04/2024;53372173.40;30/05/2024;;;2.779.393.100.000;30/05/2024;00QR;BVFX2;GBP;3526570000.00;1920.28;30/05/2024;1920.28;30/05/2024;;;;;;;;
LU2610458346;94799705.00;30/04/2024;140727.95;30/05/2024;;;;;2027.96;30/05/2024;;;;6.939.400.000;30/05/2024;;;;;;2027.96;30/05/2024;2027.96;30/05/2024;30/04/2024;140727.95;30/05/2024;;;6.939.400.000;30/05/2024;00QW;BQGBD;GBP;94799705.00;2027.96;30/05/2024;2027.96;30/05/2024;;;;;;;;
LU2597108393;94799705.00;30/04/2024;534881.90;30/05/2024;;;;;802.02;30/05/2024;;;;66.692.000.000;30/05/2024;;;;;;802.02;30/05/2024;802.02;30/05/2024;30/04/2024;534881.90;30/05/2024;;;66.692.000.000;30/05/2024;00QX;BQGBD;GBP;94799705.00;802.02;30/05/2024;12.294.922;30/05/2024;;;;;;;;
LU2575169037;94799705.00;30/04/2024;4687622.66;30/05/2024;;;;;55.64;31/05/2024;;;;8.421.426.600.000;30/05/2024;;;;;;55.64;31/05/2024;55.64;31/05/2024;30/04/2024;4687622.66;30/05/2024;;;8.421.426.600.000;30/05/2024;00QY;BQGBD;EUR;94799705.00;55.64;31/05/2024;781.466;31/05/2024;;;;;;;;
LU2532374225;102890000.00;30/04/2024;30804179.66;30/05/2024;;;;;427.21;30/05/2024;;;;7.210.475.600.000;30/05/2024;;;;;;427.21;30/05/2024;427.21;30/05/2024;30/04/2024;30804179.66;30/05/2024;;;7.210.475.600.000;30/05/2024;00R7;RTLAC;GBP;102890000.00;427.21;30/05/2024;427.21;30/05/2024;;;;;;;;
LU1900065811;102890000.00;30/04/2024;6145077327.00;30/05/2024;;;;;85224;30/05/2024;;;;7.210.475.600.000;30/05/2024;;;;;;85224;30/05/2024;85224;30/05/2024;30/04/2024;6145077327.00;30/05/2024;;;7.210.475.600.000;30/05/2024;00R8;RTLAC;JPY;102890000.00;85224;30/05/2024;85224;30/05/2024;;;;;;;;
LU1883844398;102890000.00;30/04/2024;1381.77;30/05/2024;;;;;1401.39;30/05/2024;;;;0.98600000;30/05/2024;;;;;;1401.39;30/05/2024;1401.39;30/05/2024;30/04/2024;1381.77;30/05/2024;;;0.98600000;30/05/2024;00R9;RTLAC;GBP;102890000.00;1401.39;30/05/2024;1401.39;30/05/2024;;;;;;;;
LU1883840990;102890000.00;30/04/2024;275646.00;30/05/2024;;;;;279560;30/05/2024;;;;0.98600000;30/05/2024;;;;;;279560;30/05/2024;279560;30/05/2024;30/04/2024;275646.00;30/05/2024;;;0.98600000;30/05/2024;00RA;RTLAC;JPY;102890000.00;279560;30/05/2024;279560;30/05/2024;;;;;;;;
LU1882476796;181480000.00;28/03/2024;3104735.26;30/05/2024;;;;;973.56;30/05/2024;;;;318.906.200.000;30/05/2024;;;;;;973.56;30/05/2024;973.56;30/05/2024;28/03/2024;3104735.26;30/05/2024;;;318.906.200.000;30/05/2024;00RC;J3F77;EUR;181480000.00;973.56;30/05/2024;973.56;30/05/2024;;;;;;0;;0
LU1882476366;79883804.78;30/05/2024;;;;;;;28.91;14/05/2013;;;;;;;;;;;28.91;14/05/2013;28.91;14/05/2013;30/05/2024;;;;;;;00RO;AWF04;GBP;79883804.78;28.91;14/05/2013;330.248;14/05/2013;;;;;;;;
LU1681045297;121391668.35;30/05/2024;;;;;;;33.28;21/05/2013;;;;;;;;;;;33.28;21/05/2013;33.28;21/05/2013;30/05/2024;;;;;;;00RR;D8FV2;GBP;121391668.35;33.28;21/05/2013;33.28;21/05/2013;;;;;;;;
LU1681045024;121391668.35;30/05/2024;;;;;;;116.88;21/05/2013;;;;;;;;;;;116.88;21/05/2013;116.88;21/05/2013;30/05/2024;;;;;;;00RS;D8FV2;GBP;121391668.35;116.88;21/05/2013;1.261.735;21/05/2013;;;;;;;;
LU1681044563;1033659022.43;30/05/2024;;;;;;;61.12;01/10/2015;;;;;;;;;;;61.12;01/10/2015;61.12;01/10/2015;30/05/2024;;;;;;;00RV;FSF59;EUR;1033659022.43;61.12;01/10/2015;61.12;01/10/2015;;;;;;;;
LU1681044480;89489548.27;31/05/2024;;;;;;;128.9;31/05/2024;;;;10.606.800.000.000;08/04/2024;;;;;;128.9;31/05/2024;128.9;31/05/2024;31/05/2024;;;;;10.606.800.000.000;08/04/2024;00SR;K8F69;GBP;89489548.27;128.9;31/05/2024;128.9;31/05/2024;;;;;;;;
LU1291100078;2770836289.58;30/05/2024;32451437.15;30/05/2024;;;;;29.51;30/05/2024;;;;109.969.041.000.000;30/05/2024;;;;;;29.51;30/05/2024;29.51;30/05/2024;30/05/2024;32451437.15;30/05/2024;;;109.969.041.000.000;30/05/2024;00T3;ACTECA;EUR;2770836289.58;29.51;30/05/2024;29.51;30/05/2024;;;;;;;;
LU1291097936;2770836289.58;30/05/2024;16224588.16;30/05/2024;;;;;32.78;30/05/2024;;;;49.501.122.000.000;30/05/2024;;;;;;32.78;30/05/2024;32.78;30/05/2024;30/05/2024;16224588.16;30/05/2024;;;49.501.122.000.000;30/05/2024;00T4;ACTECA;EUR;2770836289.58;32.78;30/05/2024;32.78;30/05/2024;;;;;;;;
LU1161527038;242965604.37;31/05/2024;149152152.55;31/05/2024;;;;;7.848.954;31/05/2024;;;31/05/2024;19.002.805.800.000;31/05/2024;248.159.252.500.000;;;;;7.848.954;31/05/2024;7.848.954;31/05/2024;31/05/2024;149152152.55;31/05/2024;248.159.252.500.000;31/05/2024;19.002.805.800.000;31/05/2024;00TM;N6FZ9;SEK;242965604.37;7.848.954;31/05/2024;7.848.954;31/05/2024;;;;;;;;
LU1161526907;7453498266.13;30/04/2024;;;;;;;19.67;31/05/2024;;;;;;;;;;;19.67;31/05/2024;19.67;31/05/2024;30/04/2024;;;;;;;00TU;X2F46;USD;7453498266.13;19.67;31/05/2024;19.67;31/05/2024;;;;;;;;
LU1161526816;1639081429.81;30/05/2024;;;;;;;178.3;22/11/2017;;;;;;;;;;;178.3;22/11/2017;178.3;22/11/2017;30/05/2024;;;;;;;00TY;FNF76;EUR;1639081429.81;178.3;22/11/2017;178.3;22/11/2017;;;;;;;;
LU1161526576;2442800000.00;30/04/2024;27125682.95;30/05/2024;;;;;97.42;30/05/2024;;;;27.844.668.000.000;30/05/2024;;;;;;97.42;30/05/2024;97.42;30/05/2024;30/04/2024;27125682.95;30/05/2024;;;27.844.668.000.000;30/05/2024;00U9;BVFW5;GBP;2442800000.00;97.42;30/05/2024;97.42;30/05/2024;;;;;;;;
LU1160366222;2442800000.00;30/04/2024;7027535.86;30/05/2024;;;;;132.39;30/05/2024;;;;5.308.130.100.000;30/05/2024;;;;;;132.39;30/05/2024;132.39;30/05/2024;30/04/2024;7027535.86;30/05/2024;;;5.308.130.100.000;30/05/2024;00UA;BVFW5;GBP;2442800000.00;132.39;30/05/2024;1.407.249;30/05/2024;;;;;;;;
LU1160365257;2442800000.00;30/04/2024;10984281.63;30/05/2024;;;;;90.9;30/05/2024;;;;12.083.557.300.000;30/05/2024;;;;;;90.9;30/05/2024;90.9;30/05/2024;30/04/2024;10984281.63;30/05/2024;;;12.083.557.300.000;30/05/2024;00UB;BVFW5;GBP;2442800000.00;90.9;30/05/2024;90.9;30/05/2024;;;;;;;;
LU1160364797;1133480000.00;30/04/2024;2512018.16;30/05/2024;;;;;86.66;30/05/2024;;;;2.898.842.700.000;30/05/2024;;;;;;86.66;30/05/2024;86.66;30/05/2024;30/04/2024;2512018.16;30/05/2024;;;2.898.842.700.000;30/05/2024;00UF;DMFG1;GBP;1133480000.00;86.66;30/05/2024;86.66;30/05/2024;;;;;;;;
LU1160363633;1133480000.00;30/04/2024;50473267.85;30/05/2024;;;;;1055.44;30/05/2024;;;;4.782.180.300.000;30/05/2024;;;;;;1055.44;30/05/2024;1055.44;30/05/2024;30/04/2024;50473267.85;30/05/2024;;;4.782.180.300.000;30/05/2024;00UG;DMFG1;GBP;1133480000.00;1055.44;30/05/2024;1055.44;30/05/2024;;;;;;;;
LU1160362742;389260000.00;30/04/2024;4552018.60;30/05/2024;;;;;106.887;30/05/2024;;;;4.258.731.100.000;30/05/2024;;;;;;106.887;30/05/2024;106.887;30/05/2024;30/04/2024;4552018.60;30/05/2024;;;4.258.731.100.000;30/05/2024;00UJ;KHFP1;USD;389260000.00;106.887;30/05/2024;1.230.319;30/05/2024;;;;;;;;
LU1160355613;3526570000.00;30/04/2024;56520873.01;30/05/2024;;;;;192.76;30/05/2024;;;;29.322.349.600.000;30/05/2024;;;;;;192.76;30/05/2024;192.76;30/05/2024;30/04/2024;56520873.01;30/05/2024;;;29.322.349.600.000;30/05/2024;00UK;BVFX2;GBP;3526570000.00;192.76;30/05/2024;192.76;30/05/2024;;;;;;;;
LU1160355027;3526570000.00;30/04/2024;12840035.98;30/05/2024;;;;;92.58;30/05/2024;;;;13.869.150.000.000;30/05/2024;;;;;;92.58;30/05/2024;92.58;30/05/2024;30/04/2024;12840035.98;30/05/2024;;;13.869.150.000.000;30/05/2024;00UL;BVFX2;GBP;3526570000.00;92.58;30/05/2024;1.177.136;30/05/2024;;;;;;;;
