ISIN,data,valor
AU00000IHCB0,2023-07-17,91.0741
AU00000IHHY1,2023-07-17,90.5034
AU00000IHWL7,2023-07-17,42.0097
AU00000WDMF0,2023-07-17,37.0393
AU0000233744,2023-07-17,26.8061
AU0000242596,2023-07-17,53.1683
AU0000271728,2023-07-17,52.4432
AU60BGL00348,2023-07-17,1.3882
AU60BGL00447,2023-07-17,0.5508
AU60BGL00520,2023-07-17,1.2227
AU60BGL00611,2023-07-17,0.4562
AT0000A1PND3,2023-07-17,96.88
AT0000A17B19,2023-07-17,99.36
AT0000A0RK93,2023-07-17,136.88
AT0000A0PS63,2023-07-17,5.8
AT0000619374,2023-07-17,210.63
AT0000619408,2023-07-17,136.65
AT0000620372,2023-07-17,92.18
AT0000674924,2023-07-17,21.8
AT0000675186,2023-07-17,91.91
AT0000675731,2023-07-17,84.76
AT0000685128,2023-07-17,114.72
AT0000688072,2023-07-17,141.61
AT0000706601,2023-07-17,14.91
AT0000726070,2023-07-17,62.75
AT0000726088,2023-07-17,110.05
AT0000731575,2023-07-17,10.28
AT0000746136,2023-07-17,10.84
AU60BGL01056,2023-07-17,0.9151
AT0000754270,2023-07-17,22.0
AT0000801071,2023-07-17,12.61
AT0000801097,2023-07-17,12.72
AT0000810056,2023-07-17,102.7
AT0000818281,2023-07-17,71.44
AT0000822382,2023-07-17,6.97
AT0000822747,2023-07-17,85.45
AT0000822762,2023-07-17,194.49
AT0000857008,2023-07-17,55.85
AT0000857024,2023-07-17,6.16
AT0000960497,2023-07-17,7382.76
AT0000A05TJ5,2023-07-17,97.89
AT0000A0BWW6,2023-07-17,112.07
AT0000A0G4D4,2023-07-17,12.4
AT0000764873,2023-07-17,18.31
FR0011362094,2023-07-17,98.6209
AU60BLK19183,2023-07-17,0.9565
AU60BLK79385,2023-07-17,1.1472
CA46429U1093,2023-07-17,15.4837
CA46429X1033,2023-07-17,12.2356
CA46430K1084,2023-07-17,18.9631
CA46430T1093,2023-07-17,27.2465
CA46431D1033,2023-07-17,16.4794
CA46431L1132,2023-07-17,24.4528
CA46431M1032,2023-07-17,45.9118
CA46431X1096,2023-07-17,17.853
CA46433B2049,2023-07-17,45.1161
CA46433J1084,2023-07-17,15.9476
CA46433M1014,2023-07-17,50.1267
CA46433Q1028,2023-07-17,17.1836
CA46433S1083,2023-07-17,66.0245
CA46433V2003,2023-07-17,20.9024
CA46435J1140,2023-07-17,20.7372
CH0008899764,2023-07-17,114.2627
CH0017142719,2023-07-17,113.0813
CH0104136285,2023-07-17,140.8317
CH0106027193,2023-07-17,62.7112
CH0111012867,2023-07-17,93.417
CH0111012925,2023-07-17,100.429
CH0116771236,2023-07-17,92.631
CH0116771244,2023-07-17,100.257
CH0118929022,2023-07-17,120.9604
CH0226976816,2023-07-17,91.5179
CH0302290181,2023-07-17,112862.12
CH0342181937,2023-07-17,908.56
CA46429Q1081,2023-07-17,20.0939
AU60SSB92188,2023-07-17,0.9675
AU60SSB59872,2023-07-17,0.872
AU60SSB33265,2023-07-17,0.8712
AU60CIM18987,2023-07-17,1.2871
AU60CIM91216,2023-07-17,0.8069
AU60ETL02010,2023-07-17,1.6924
AU60FRT00091,2023-07-17,2.3195
AU60FRT00117,2023-07-17,0.811
AU60FRT00232,2023-07-17,0.9548
AU60FRT00257,2023-07-17,0.9332
AU60FRT59519,2023-07-17,2.2881
AU60JPM00035,2023-07-17,2.0218
AU60JPM00092,2023-07-17,1.3531
AU60NML05878,2023-07-17,1.0914
AU60NML05886,2023-07-17,1.1527
AU60NML05894,2023-07-17,0.9452
AU60BLK55518,2023-07-17,0.9724
AU60SCH00026,2023-07-17,13.6273
AU60SCH00885,2023-07-17,1.8231
AU60SCH14951,2023-07-17,0.8098
AU60SSB00439,2023-07-17,1.2682
AU60SSB00587,2023-07-17,0.9528
AU60SSB00611,2023-07-17,1.0364
AU60SSB00645,2023-07-17,1.1389
AU60SSB00702,2023-07-17,0.853
AU60SSB01254,2023-07-17,2.6862
AU60SSB01262,2023-07-17,2.0525
AU60SSB01288,2023-07-17,1.2087
AU60SSB01304,2023-07-17,1.2921
AU60SSB05156,2023-07-17,0.9338
AU60SSB24348,2023-07-17,0.7997
AU60SCH00067,2023-07-17,3.1517
AT0000618038,2023-07-17,141.35
990000002459,2024-05-29,254.66
990000082659,2024-05-29,18.185
990000004939,2024-05-29,6.45
990000084289,2024-05-29,23.266
990000084329,2024-05-29,37.65
990000082669,2024-05-29,24.41
990000084369,2024-05-29,37.64
990000015719,2024-05-29,43.81
990000004939,2024-05-30,6.41
990000084329,2024-05-30,37.46
990000082669,2024-05-30,24.29
990000079139,2024-05-30,54.11
990000082719,2024-05-30,21.88
990000084349,2024-05-30,42.45
990000015719,2024-05-30,43.83
990000002459,2024-05-30,255.54
990000084369,2024-05-30,37.37
990000082659,2024-05-30,18.187
990000082689,2024-05-30,27.09
990000084289,2024-05-30,23.268
990000084309,2024-05-30,30.33
990000082669,2024-05-31,24.2
990000015719,2024-05-31,43.83
990000079139,2024-05-31,54.34
990000082689,2024-05-31,26.97
990000082659,2024-05-31,18.192
990000084329,2024-05-31,37.33
990000004939,2024-05-31,6.42
990000084309,2024-05-31,30.32
990000084289,2024-05-31,23.276
990000084349,2024-05-31,42.26
990000084369,2024-05-31,37.45
990000082719,2024-05-31,21.87
990000002459,2024-05-31,255.96
990000082669,2024-06-03,24.3
990000002459,2024-06-03,256.12
990000084309,2024-06-03,30.39
990000084329,2024-06-03,37.48
990000084289,2024-06-03,23.278
990000082659,2024-06-03,18.194
990000079139,2024-06-03,54.42
990000082719,2024-06-03,21.92
990000004939,2024-06-03,6.43
990000084349,2024-06-03,42.49
990000082689,2024-06-03,27.12
990000084369,2024-06-03,37.46
990000015719,2024-06-03,43.91
990000002459,2024-06-04,255.02
990000079139,2024-06-04,54.36
990000082689,2024-06-04,27.17
990000082659,2024-06-04,18.196
990000082719,2024-06-04,22.0
990000084329,2024-06-04,37.56
990000084369,2024-06-04,37.53
990000004939,2024-06-04,6.45
990000084289,2024-06-04,23.28
990000084349,2024-06-04,42.58
990000082669,2024-06-04,24.35
990000015719,2024-06-04,43.93
990000084309,2024-06-04,30.5
990000015719,2024-06-05,43.92
990000084369,2024-06-05,37.35
990000084289,2024-06-05,23.282
990000002459,2024-06-05,257.36
990000084329,2024-06-05,37.56
990000082659,2024-06-05,18.198
990000084349,2024-06-05,42.54
990000079139,2024-06-05,55.03
990000082689,2024-06-05,27.14
990000082669,2024-06-05,24.35
990000004939,2024-06-05,6.43
990000082719,2024-06-05,22.03
990000084309,2024-06-05,30.55
990000084309,2024-06-06,30.65
990000084289,2024-06-06,23.286
990000079139,2024-06-06,55.17
990000082669,2024-06-06,24.53
990000082719,2024-06-06,22.11
990000084329,2024-06-06,37.85
990000084349,2024-06-06,43.01
990000015719,2024-06-06,43.89
990000004939,2024-06-06,6.47
990000002459,2024-06-06,258.34
990000082659,2024-06-06,18.199
990000082689,2024-06-07,27.47
990000079139,2024-06-07,55.28
990000082719,2024-06-07,22.07
990000015719,2024-06-07,43.82
990000082659,2024-06-07,18.205
990000084309,2024-06-07,30.61
990000084369,2024-06-07,37.84
990000002459,2024-06-07,257.36
990000004939,2024-06-07,6.48
990000084329,2024-06-07,37.83
990000084349,2024-06-07,43.06
990000084289,2024-06-07,23.292
990000082669,2024-06-07,24.52
990000082689,2024-06-10,27.5
990000079139,2024-06-10,55.84
990000084369,2024-06-10,37.76
990000002459,2024-06-10,254.38
990000084349,2024-06-10,43.1
990000084289,2024-06-10,23.294
990000004939,2024-06-10,6.45
990000082669,2024-06-10,24.52
990000082659,2024-06-10,18.207
990000084309,2024-06-10,30.51
990000015719,2024-06-10,43.79
990000082719,2024-06-10,22.01
990000084329,2024-06-10,37.83
990000082659,2024-06-11,18.209
990000082669,2024-06-11,24.59
990000082689,2024-06-11,27.67
990000084369,2024-06-11,37.6
990000084349,2024-06-11,43.36
990000002459,2024-06-11,251.83
990000084309,2024-06-11,30.45
990000015719,2024-06-11,43.83
990000004939,2024-06-11,6.42
990000084289,2024-06-11,23.296
990000084329,2024-06-11,37.95
990000082719,2024-06-11,21.96
990000079139,2024-06-11,55.89
990000079139,2024-06-12,55.86
990000004939,2024-06-12,6.4
990000082669,2024-06-12,24.62
990000084329,2024-06-12,37.98
990000082689,2024-06-12,27.67
990000084309,2024-06-12,30.47
990000084369,2024-06-12,37.37
990000002459,2024-06-12,254.2
990000084349,2024-06-12,43.37
990000084289,2024-06-12,23.3
990000082719,2024-06-12,21.98
990000015719,2024-06-12,43.9
990000082659,2024-06-12,18.21
990000084329,2024-06-13,38.07
990000002459,2024-06-13,250.13
990000079139,2024-06-13,56.25
990000004939,2024-06-13,6.45
990000084289,2024-06-13,23.3
990000015719,2024-06-13,43.93
990000082669,2024-06-13,24.67
990000082659,2024-06-13,18.212
990000004939,2024-06-14,6.41
990000079139,2024-06-14,56.53
990000015719,2024-06-14,43.98
990000002459,2024-06-14,244.73
990000082659,2024-06-14,18.216
990000084369,2024-06-14,37.22
990000082689,2024-06-14,27.79
990000084289,2024-06-14,23.308
990000084309,2024-06-14,30.63
990000084329,2024-06-14,38.17
990000082669,2024-06-14,24.73
990000082719,2024-06-14,22.09
990000084349,2024-06-14,43.55
990000002459,2024-06-17,246.69
990000015719,2024-06-17,43.94
990000084289,2024-06-17,23.31
990000082659,2024-06-17,18.218
990000084329,2024-06-17,38.33
990000004939,2024-06-17,6.38
990000082669,2024-06-17,24.84
990000084289,2024-06-18,23.312
990000082719,2024-06-18,22.14
990000015719,2024-06-18,43.98
990000084309,2024-06-18,30.7
990000002459,2024-06-18,248.02
990000004939,2024-06-18,6.38
990000084349,2024-06-18,43.77
990000082669,2024-06-18,24.83
990000084329,2024-06-18,38.31
990000079139,2024-06-18,56.89
990000082689,2024-06-18,27.92
990000082659,2024-06-18,18.22
990000015719,2024-06-19,43.97
990000002459,2024-06-19,246.71
990000084309,2024-06-19,30.76
990000084349,2024-06-19,43.85
990000004939,2024-06-19,6.41
990000084289,2024-06-19,23.314
990000082659,2024-06-19,18.222
990000082669,2024-06-19,24.88
990000079139,2024-06-19,56.86
990000082719,2024-06-20,22.17
990000082669,2024-06-20,24.87
990000079139,2024-06-20,56.86
990000002459,2024-06-20,249.56
990000084289,2024-06-20,23.316
990000082659,2024-06-20,18.223
990000082689,2024-06-20,27.96
990000084309,2024-06-20,30.74
990000004939,2024-06-20,6.39
990000084329,2024-06-20,38.38
990000015719,2024-06-20,43.98
990000084349,2024-06-20,43.83
990000082659,2024-06-21,18.228
990000079139,2024-06-21,56.77
990000082719,2024-06-21,22.16
990000084329,2024-06-21,38.39
990000082669,2024-06-21,24.87
990000084289,2024-06-21,23.322
990000015719,2024-06-21,44.01
990000084349,2024-06-21,43.87
990000004939,2024-06-21,6.41
990000002459,2024-06-21,248.16
990000084309,2024-06-21,30.73
990000082689,2024-06-21,27.99
990000084309,2024-06-24,30.75
990000079139,2024-06-24,56.51
990000002459,2024-06-24,250.33
990000084289,2024-06-24,23.324
990000084329,2024-06-24,38.39
990000082659,2024-06-24,18.229
990000082689,2024-06-24,27.97
990000015719,2024-06-24,44.02
990000084349,2024-06-24,43.84
